company,phone,type,city_state,notes,do_not_call
CAMS (owner relations),713-380-4709,O&M / asset services,Houston TX,3rd-party solar+BESS O&M and asset management,
Carolina Solar Services,919-808-5285,O&M,Durham NC,Utility-scale O&M; Amicus O&M board,
SunUp Solar Tech Services,833-738-6799,O&M,El Segundo CA,Pure-play commercial/utility O&M,
Solar Medix,732-474-1748,O&M,NJ,Commercial solar O&M,
Energy Support Services,443-267-5012,O&M / AM,MD,NE community-solar O&M + asset mgmt,
Aegis Renewable Energy,802-496-5155,O&M / AM,VT,Monitoring + asset management,
GenRenew,732-835-4272,O&M / asset services,NJ,Solar O&M / asset services,
QE Solar,888-287-0207,O&M,NC,Pure-play PV O&M across mixed fleets,
Optimus Energy Solutions,352-234-3552,O&M,FL/GA,Amicus O&M member,
Axium Solar,972-633-8680,O&M,TX,Amicus O&M member,
HES Renewables,866-437-7639,O&M,CA,Commercial solar repair/O&M,
Cenergy Power,760-603-1933,EPC + O&M,CA,EPC with solar O&M division,
Vanguard Solar Services,720-909-8899,O&M,CO,Independent O&M (Amicus),
Energy Select,301-475-6727,O&M,MD,Independent O&M (Amicus),
Power Northwest,503-208-4357,O&M,OR,Independent O&M (Amicus),
PurePoint Energy,203-642-4105,O&M,CT,Commercial solar + service (Amicus),
Radiance Solar,404-885-9898,O&M,GA,C&I solar + O&M (Amicus),
Southern Energy Management,919-752-3152,O&M,NC,Local to NC; Amicus member,
Cal-Solar,530-274-3671,O&M,CA,Independent O&M (Amicus),
MaxSolar,844-629-7657,O&M,CA,Solar O&M (Amicus),
Arch O&M (Arch Electric),920-893-8388,O&M,WI/IL,Amicus O&M member,
